"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Indigenous Status","Victim Reports"
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary","Total People",7882
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Aboriginal and/or Torres Strait Islander",294
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Non-Indigenous",20036
2025,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary","Total People",22132
2025,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Aboriginal and/or Torres Strait Islander",310
2025,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Non-Indigenous",20109
2025,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft","Total People",22021
2025,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Aboriginal and/or Torres Strait Islander",630
2025,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Non-Indigenous",60380
2025,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle","Total People",65744
2025,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Aboriginal and/or Torres Strait Islander",95
2025,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Non-Indigenous",7379
2025,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle","Total People",8191
2025,"March","B Property and deception offences","B40 Theft","Other theft offences","Aboriginal and/or Torres Strait Islander",519
2025,"March","B Property and deception offences","B40 Theft","Other theft offences","Non-Indigenous",28863
2025,"March","B Property and deception offences","B40 Theft","Other theft offences","Total People",31647
2025,"March","B Property and deception offences","B50 Deception","B50 Deception","Aboriginal and/or Torres Strait Islander",89
2025,"March","B Property and deception offences","B50 Deception","B50 Deception","Non-Indigenous",8629
2025,"March","B Property and deception offences","B50 Deception","B50 Deception","Total People",10448
2025,"March","C Other offences","C Other offences","C Other offences","Aboriginal and/or Torres Strait Islander",5
2025,"March","C Other offences","C Other offences","C Other offences","Non-Indigenous",133
2025,"March","C Other offences","C Other offences","C Other offences","Total People",144
2024,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Aboriginal and/or Torres Strait Islander",8
2024,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Non-Indigenous",159
2024,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences","Total People",210
2024,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Aboriginal and/or Torres Strait Islander",911
2024,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Non-Indigenous",13257
2024,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault","Total People",15000
2024,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Aboriginal and/or Torres Strait Islander",14
2024,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Non-Indigenous",2623
2024,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer","Total People",2847
2024,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Aboriginal and/or Torres Strait Islander",1214
2024,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Non-Indigenous",24112
2024,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault","Total People",27476
2024,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Aboriginal and/or Torres Strait Islander",267
2024,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Non-Indigenous",3392
2024,"March","A Crimes against the person","A30 Sexual offences","A31 Rape","Total People",4024
2024,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Aboriginal and/or Torres Strait Islander",189
2024,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Non-Indigenous",3646
2024,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault","Total People",4706
2024,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Aboriginal and/or Torres Strait Islander",10
2024,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Non-Indigenous",184
2024,"March","A Crimes against the person","A30 Sexual offences","A33 Incest","Total People",212
2024,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Aboriginal and/or Torres Strait Islander",28
2024,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Non-Indigenous",379
2024,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children","Total People",482
2024,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Aboriginal and/or Torres Strait Islander",35
2024,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Non-Indigenous",802
2024,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences","Total People",941
2024,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Aboriginal and/or Torres Strait Islander",28
2024,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Non-Indigenous",416
2024,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences","Total People",465
2024,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Aboriginal and/or Torres Strait Islander",73
2024,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Non-Indigenous",2140
2024,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery","Total People",2548
2024,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Aboriginal and/or Torres Strait Islander",7
2024,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Non-Indigenous",311
2024,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery","Total People",384
