"Year","Year ending","AFM Sex","AFM Age Group","AFM Indigenous Status","AFM Counter"
2025,"March","Females","25-29 years","Total People",8927
2025,"March","Females","30-34 years","Aboriginal and/or Torres Strait Islander",769
2025,"March","Females","30-34 years","Non-Indigenous",9647
2025,"March","Females","30-34 years","Total People",10664
2025,"March","Females","35-39 years","Aboriginal and/or Torres Strait Islander",699
2025,"March","Females","35-39 years","Non-Indigenous",10606
2025,"March","Females","35-39 years","Total People",11560
2025,"March","Females","40-44 years","Aboriginal and/or Torres Strait Islander",510
2025,"March","Females","40-44 years","Non-Indigenous",8810
2025,"March","Females","40-44 years","Total People",9553
2025,"March","Females","45-49 years","Aboriginal and/or Torres Strait Islander",396
2025,"March","Females","45-49 years","Non-Indigenous",6400
2025,"March","Females","45-49 years","Total People",6980
2025,"March","Females","50-54 years","Aboriginal and/or Torres Strait Islander",334
2025,"March","Females","50-54 years","Non-Indigenous",5209
2025,"March","Females","50-54 years","Total People",5724
2025,"March","Females","55-59 years","Aboriginal and/or Torres Strait Islander",179
2025,"March","Females","55-59 years","Non-Indigenous",3368
2025,"March","Females","55-59 years","Total People",3657
2025,"March","Females","60-64 years","Aboriginal and/or Torres Strait Islander",120
2025,"March","Females","60-64 years","Non-Indigenous",2130
2025,"March","Females","60-64 years","Total People",2338
2025,"March","Females","65 years and over","Aboriginal and/or Torres Strait Islander",193
2025,"March","Females","65 years and over","Non-Indigenous",4263
2025,"March","Females","65 years and over","Total People",4714
2025,"March","Females","Total","Aboriginal and/or Torres Strait Islander",5621
2025,"March","Females","Total","Non-Indigenous",71077
2025,"March","Females","Total","Total People",79590
2025,"March","Males","00-14 years","Aboriginal and/or Torres Strait Islander",200
2025,"March","Males","00-14 years","Non-Indigenous",1782
2025,"March","Males","00-14 years","Total People",2395
2025,"March","Males","15-17 years","Aboriginal and/or Torres Strait Islander",127
2025,"March","Males","15-17 years","Non-Indigenous",940
2025,"March","Males","15-17 years","Total People",1122
2025,"March","Males","18-19 years","Aboriginal and/or Torres Strait Islander",98
2025,"March","Males","18-19 years","Non-Indigenous",640
2025,"March","Males","18-19 years","Total People",790
2025,"March","Males","20-24 years","Aboriginal and/or Torres Strait Islander",234
2025,"March","Males","20-24 years","Non-Indigenous",1674
2025,"March","Males","20-24 years","Total People",1976
2025,"March","Males","25-29 years","Aboriginal and/or Torres Strait Islander",166
2025,"March","Males","25-29 years","Non-Indigenous",1926
2025,"March","Males","25-29 years","Total People",2149
2025,"March","Males","30-34 years","Aboriginal and/or Torres Strait Islander",186
2025,"March","Males","30-34 years","Non-Indigenous",2355
2025,"March","Males","30-34 years","Total People",2592
2025,"March","Males","35-39 years","Aboriginal and/or Torres Strait Islander",173
2025,"March","Males","35-39 years","Non-Indigenous",2477
2025,"March","Males","35-39 years","Total People",2690
2025,"March","Males","40-44 years","Aboriginal and/or Torres Strait Islander",146
2025,"March","Males","40-44 years","Non-Indigenous",2528
2025,"March","Males","40-44 years","Total People",2735
