"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Victim Reports","Rate per 100,000 population"
2023,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",14274,209.999192311
2023,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",2905,42.738381229
2023,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",28048,412.642380968
2023,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",3593,52.860242257
2023,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",4307,63.364615474
2023,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",211,3.104233542
2023,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",429,6.311451135
2023,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",837,12.313950117
2023,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",481,7.076475515
2023,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2127,31.292439544
2023,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",307,4.516586243
2023,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",477,7.017627486
2023,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",66,0.970992482
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",2248,33.072592428
2023,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",5237,77.046782271
2023,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3421,50.329777
2023,"March","B Property and deception offences","B10 Arson","B10 Arson",1022,15.035671469
2023,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",21613,317.970613942
2023,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",1000,14.712007308
2023,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",317,4.663706317
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",5039,74.133804824
2023,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",17543,258.0927442
2023,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",12151,178.765600796
2023,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",40448,595.071271584
2023,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",210,3.089521535
2023,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",6550,96.363647866
2023,"March","B Property and deception offences","B40 Theft","Other theft offences",23808,350.263469983
2023,"March","B Property and deception offences","B50 Deception","B50 Deception",9888,145.472328259
2023,"March","C Other offences","C Other offences","C Other offences",95,1.397640694
2022,"March","A Crimes against the person","A10 Homicide and related offences","A10 Homicide and related offences",177,2.675643122
2022,"March","A Crimes against the person","A20 Assault and related offences","A21 Serious assault",14116,213.386318122
2022,"March","A Crimes against the person","A20 Assault and related offences","A22 Assault police, emergency services or other authorised officer",3008,45.470816443
2022,"March","A Crimes against the person","A20 Assault and related offences","A23 Common assault",25839,390.598545901
2022,"March","A Crimes against the person","A30 Sexual offences","A31 Rape",3640,55.024525217
2022,"March","A Crimes against the person","A30 Sexual offences","A32 Indecent assault",4265,64.472417596
2022,"March","A Crimes against the person","A30 Sexual offences","A33 Incest",218,3.295424862
2022,"March","A Crimes against the person","A30 Sexual offences","A34 Sexual offences against children",445,6.726899374
2022,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",656,9.916507841
2022,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",500,7.558313903
2022,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",1956,29.56812399
2022,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",279,4.217539158
2022,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",150,2.267494171
2022,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",58,0.876764413
2022,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking & A72 Harassment and private nuisance",2271,34.329861749
2022,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",5252,79.392529242
2022,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A80 Dangerous and negligent acts endangering people",3233,48.8720577
2022,"March","B Property and deception offences","B10 Arson","B10 Arson",1019,15.403843735
2022,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",21132,319.444578814
2022,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",891,13.468915376
2022,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",272,4.111722763
2022,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",3853,58.24436694
2022,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",15759,238.222937608
2022,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",10634,160.750220098
