"Year","Year ending","Police Region","Local Government Area","Victim Reports","Rate per 100,000 population"
2023,"March","2 Eastern","Mansfield",147,1394.422310757
2023,"March","2 Eastern","Maroondah",2603,2219.98584258
2023,"March","2 Eastern","Mitchell",1259,2353.622971659
2023,"March","2 Eastern","Moira",928,3030.105139424
2023,"March","2 Eastern","Monash",5926,2914.832394678
2023,"March","2 Eastern","Murrindindi",307,1988.213198627
2023,"March","2 Eastern","South Gippsland",758,2463.6786167
2023,"March","2 Eastern","Strathbogie",205,1774.738117912
2023,"March","2 Eastern","Towong",99,1604.278074866
2023,"March","2 Eastern","Wangaratta",849,2838.800280871
2023,"March","2 Eastern","Wellington",1744,3796.503907526
2023,"March","2 Eastern","Whitehorse",4162,2333.849225041
2023,"March","2 Eastern","Wodonga",1488,3397.027600849
2023,"March","2 Eastern","Yarra Ranges",2718,1715.551684308
2023,"March","2 Eastern","Total",45406,2602.525377001
2023,"March","3 Southern Metro","Bayside",2809,2697.485931588
2023,"March","3 Southern Metro","Cardinia",2655,2094.525832485
2023,"March","3 Southern Metro","Casey",9431,2410.312898535
2023,"March","3 Southern Metro","Frankston",4841,3394.168004655
2023,"March","3 Southern Metro","Glen Eira",3927,2508.223421582
2023,"March","3 Southern Metro","Greater Dandenong",7306,4468.966192203
2023,"March","3 Southern Metro","Kingston",4478,2739.692503472
2023,"March","3 Southern Metro","Mornington Peninsula",4009,2359.74830921
2023,"March","3 Southern Metro","Port Phillip",6611,6048.490393413
2023,"March","3 Southern Metro","Stonnington",5509,4965.433945938
2023,"March","3 Southern Metro","Total",51576,3147.887736568
2023,"March","4 Western","Ararat",431,3703.067273821
2023,"March","4 Western","Ballarat",4450,3777.973987163
2023,"March","4 Western","Buloke",105,1746.21653085
2023,"March","4 Western","Campaspe",1543,4042.653531754
2023,"March","4 Western","Central Goldfields",434,3202.24304582
2023,"March","4 Western","Colac-Otway",563,2535.350806088
2023,"March","4 Western","Corangamite",275,1732.174351222
2023,"March","4 Western","Gannawarra",275,2652.136175137
2023,"March","4 Western","Glenelg",588,2948.25511432
2023,"March","4 Western","Golden Plains",280,1088.604642121
2023,"March","4 Western","Greater Bendigo",4300,3473.62468697
2023,"March","4 Western","Greater Geelong",8705,3084.560543138
2023,"March","4 Western","Hepburn",320,1920.076803072
2023,"March","4 Western","Hindmarsh",113,2038.975099242
2023,"March","4 Western","Horsham",850,4201.472987
2023,"March","4 Western","Loddon",181,2343.042071197
2023,"March","4 Western","Macedon Ranges",833,1577.442384532
2023,"March","4 Western","Mildura",3116,5450.697080483
2023,"March","4 Western","Moorabool",891,2282.917830331
2023,"March","4 Western","Mount Alexander",363,1770.127273614
2023,"March","4 Western","Moyne",255,1451.998633413
2023,"March","4 Western","Northern Grampians",366,3099.331018715
2023,"March","4 Western","Pyrenees",174,2242.557030545
2023,"March","4 Western","Queenscliffe",34,1055.572803477
2023,"March","4 Western","Southern Grampians",393,2395.757132407
2023,"March","4 Western","Surf Coast",529,1348.870416645
2023,"March","4 Western","Swan Hill",762,3612.744168405
2023,"March","4 Western","Warrnambool",1032,2888.652521973
2023,"March","4 Western","West Wimmera",53,1349.287169043
2023,"March","4 Western","Yarriambiack",192,3018.867924528
2023,"March","4 Western","Total",32406,3028.507558652
2023,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",797,
2023,"March","Justice Institutions and Immigration Facilities","Total",797,
2023,"March","Unincorporated Vic","Unincorporated Vic",64,
2023,"March","Unincorporated Vic","Total",64,
2022,"March","1 North West Metro","Banyule",2826,2222.41445749
2022,"March","1 North West Metro","Brimbank",7045,3649.975390514
2022,"March","1 North West Metro","Darebin",5176,3446.714434116
2022,"March","1 North West Metro","Hobsons Bay",2679,2922.630476523
2022,"March","1 North West Metro","Hume",7047,2789.344521849
2022,"March","1 North West Metro","Maribyrnong",4559,5223.777986571
2022,"March","1 North West Metro","Melbourne",12186,7651.831014216
2022,"March","1 North West Metro","Melton",5017,2602.110941106
2022,"March","1 North West Metro","Merri-bek",6053,3474.602053878
2022,"March","1 North West Metro","Moonee Valley",3651,2973.127035831
2022,"March","1 North West Metro","Nillumbik",760,1206.387504365
2022,"March","1 North West Metro","Whittlesea",4987,2106.654951294
2022,"March","1 North West Metro","Wyndham",7411,2403.500009729
2022,"March","1 North West Metro","Yarra",5396,5876.01136871
2022,"March","1 North West Metro","Total",74793,3322.820450053
2022,"March","2 Eastern","Alpine",177,1347.852573865
2022,"March","2 Eastern","Bass Coast",1308,3130.684538056
2022,"March","2 Eastern","Baw Baw",1553,2621.00857355
2022,"March","2 Eastern","Benalla",512,3551.609322974
2022,"March","2 Eastern","Boroondara",3601,2127.559008596
2022,"March","2 Eastern","East Gippsland",1930,3954.107764802
2022,"March","2 Eastern","Greater Shepparton",2821,4102.97432914
2022,"March","2 Eastern","Indigo",318,1838.575393154
2022,"March","2 Eastern","Knox",3369,2113.78951199
2022,"March","2 Eastern","Latrobe",3888,5014.444903013
2022,"March","2 Eastern","Manningham",1709,1352.281629068
2022,"March","2 Eastern","Mansfield",132,1279.565723149
2022,"March","2 Eastern","Maroondah",2571,2223.202241361
2022,"March","2 Eastern","Mitchell",1245,2415.833899292
2022,"March","2 Eastern","Moira",752,2468.244329931
2022,"March","2 Eastern","Monash",4990,2562.140902346
2022,"March","2 Eastern","Murrindindi",314,2049.207074333
2022,"March","2 Eastern","South Gippsland",662,2158.531416088
2022,"March","2 Eastern","Strathbogie",247,2151.755379388
2022,"March","2 Eastern","Towong",85,1384.590324157
2022,"March","2 Eastern","Wangaratta",827,2771.633487499
2022,"March","2 Eastern","Wellington",1721,3767.43066045
2022,"March","2 Eastern","Whitehorse",3390,1967.761221753
2022,"March","2 Eastern","Wodonga",1449,3342.02089628
2022,"March","2 Eastern","Yarra Ranges",2717,1727.217825244
2022,"March","2 Eastern","Total",42288,2471.852053622
2022,"March","3 Southern Metro","Bayside",2269,2222.091645366
2022,"March","3 Southern Metro","Cardinia",2488,2021.893005453
2022,"March","3 Southern Metro","Casey",8335,2202.113606341
2022,"March","3 Southern Metro","Frankston",4375,3102.220835579
2022,"March","3 Southern Metro","Glen Eira",3457,2281.230822022
2022,"March","3 Southern Metro","Greater Dandenong",6300,3961.79072941
2022,"March","3 Southern Metro","Kingston",4018,2512.851943114
2022,"March","3 Southern Metro","Mornington Peninsula",3527,2080.420921001
2022,"March","3 Southern Metro","Port Phillip",6024,5802.51789206
2022,"March","3 Southern Metro","Stonnington",4992,4705.083978963
2022,"March","3 Southern Metro","Total",45785,2871.256580028
2022,"March","4 Western","Ararat",461,3933.447098976
2022,"March","4 Western","Ballarat",4501,3888.183412375
2022,"March","4 Western","Buloke",97,1589.903294542
2022,"March","4 Western","Campaspe",1121,2916.840133222
2022,"March","4 Western","Central Goldfields",473,3504.742145821
2022,"March","4 Western","Colac-Otway",593,2677.080041533
2022,"March","4 Western","Corangamite",346,2169.278996865
2022,"March","4 Western","Gannawarra",281,2677.975793386
2022,"March","4 Western","Glenelg",603,3018.773466834
2022,"March","4 Western","Golden Plains",272,1077.526442974
2022,"March","4 Western","Greater Bendigo",3999,3266.463006224
2022,"March","4 Western","Greater Geelong",8500,3077.624942521
2022,"March","4 Western","Hepburn",262,1581.839038821
2022,"March","4 Western","Hindmarsh",178,3182.549615591
2022,"March","4 Western","Horsham",808,3978.727595036
2022,"March","4 Western","Loddon",198,2561.448900388
2022,"March","4 Western","Macedon Ranges",637,1221.570206727
2022,"March","4 Western","Mildura",2803,4922.120568248
2022,"March","4 Western","Moorabool",808,2098.210807863
2022,"March","4 Western","Mount Alexander",380,1874.78415314
2022,"March","4 Western","Moyne",334,1914.808232529
2022,"March","4 Western","Northern Grampians",359,3036.197564276
2022,"March","4 Western","Pyrenees",167,2187.29535036
2022,"March","4 Western","Queenscliffe",85,2649.625935162
2022,"March","4 Western","Southern Grampians",438,2678.243854714
