"Year","Year ending","Police Region","Local Government Area","Incidents Recorded","Rate per 100,000 population"
2025,"March","4 Western","Pyrenees",379,4763.101671484
2025,"March","4 Western","Queenscliffe",76,2291.227012361
2025,"March","4 Western","Southern Grampians",1005,6097.191045319
2025,"March","4 Western","Surf Coast",1016,2523.283248479
2025,"March","4 Western","Swan Hill",1553,7408.644213338
2025,"March","4 Western","Warrnambool",2761,7615.501310164
2025,"March","4 Western","West Wimmera",146,3729.246487867
2025,"March","4 Western","Yarriambiack",380,6036.536934075
2025,"March","4 Western","Total",72362,6596.401796914
2025,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",1102,
2025,"March","Justice Institutions and Immigration Facilities","Total",1102,
2025,"March","Unincorporated Vic","Unincorporated Vic",67,
2025,"March","Unincorporated Vic","Total",67,
2024,"March","1 North West Metro","Banyule",6138,4669.100867184
2024,"March","1 North West Metro","Brimbank",13365,6767.157135768
2024,"March","1 North West Metro","Darebin",10866,6823.27675527
2024,"March","1 North West Metro","Hobsons Bay",4652,4880.198061349
2024,"March","1 North West Metro","Hume",13971,5159.863053667
2024,"March","1 North West Metro","Maribyrnong",8104,8646.756932663
2024,"March","1 North West Metro","Melbourne",27774,14807.666675552
2024,"March","1 North West Metro","Melton",9755,4456.494924484
2024,"March","1 North West Metro","Merri-bek",10265,5534.110391081
2024,"March","1 North West Metro","Moonee Valley",6567,5081.873336222
2024,"March","1 North West Metro","Nillumbik",1276,2008.563153255
2024,"March","1 North West Metro","Whittlesea",10108,4004.151514431
2024,"March","1 North West Metro","Wyndham",14430,4303.352021949
2024,"March","1 North West Metro","Yarra",10489,10497.187806489
2024,"March","1 North West Metro","Total",147760,6104.791203416
2024,"March","2 Eastern","Alpine",332,2531.452535265
2024,"March","2 Eastern","Bass Coast",2217,5100.303671667
2024,"March","2 Eastern","Baw Baw",3360,5437.509102973
2024,"March","2 Eastern","Benalla",1022,7023.089609676
2024,"March","2 Eastern","Boroondara",5980,3371.958611745
2024,"March","2 Eastern","East Gippsland",3826,7779.11066832
2024,"March","2 Eastern","Greater Shepparton",5904,8501.814411612
2024,"March","2 Eastern","Indigo",464,2633.670110115
2024,"March","2 Eastern","Knox",7320,4492.010113159
2024,"March","2 Eastern","Latrobe",8784,11193.516323878
2024,"March","2 Eastern","Manningham",3783,2879.806338162
2024,"March","2 Eastern","Mansfield",362,3361.188486537
2024,"March","2 Eastern","Maroondah",5559,4668.603869927
2024,"March","2 Eastern","Mitchell",2991,5333.547317178
2024,"March","2 Eastern","Moira",1741,5681.929440945
2024,"March","2 Eastern","Monash",10270,4923.345382027
2024,"March","2 Eastern","Murrindindi",568,3652.733118971
2024,"March","2 Eastern","South Gippsland",1446,4674.014933575
2024,"March","2 Eastern","Strathbogie",440,3762.291577597
2024,"March","2 Eastern","Towong",204,3320.853003419
2024,"March","2 Eastern","Wangaratta",1929,6421.86563686
2024,"March","2 Eastern","Wellington",3177,6865.181407611
2024,"March","2 Eastern","Whitehorse",7537,4122.882352619
2024,"March","2 Eastern","Wodonga",3214,7270.999705902
2024,"March","2 Eastern","Yarra Ranges",4868,3046.708265792
2024,"March","2 Eastern","Total",87298,4926.796177215
2024,"March","3 Southern Metro","Bayside",4327,4088.516814226
2024,"March","3 Southern Metro","Cardinia",5158,3964.916865886
2024,"March","3 Southern Metro","Casey",17489,4326.732771246
2024,"March","3 Southern Metro","Frankston",11173,7743.379697971
2024,"March","3 Southern Metro","Glen Eira",6121,3812.899448092
2024,"March","3 Southern Metro","Greater Dandenong",14268,8556.675682321
2024,"March","3 Southern Metro","Kingston",9340,5624.100535313
2024,"March","3 Southern Metro","Mornington Peninsula",7684,4497.328175024
2024,"March","3 Southern Metro","Port Phillip",10024,8930.544171626
2024,"March","3 Southern Metro","Stonnington",8899,7850.211714891
2024,"March","3 Southern Metro","Total",94483,5643.350160909
2024,"March","4 Western","Ararat",1013,8713.978494624
2024,"March","4 Western","Ballarat",9295,7709.917965477
2024,"March","4 Western","Buloke",247,4171.592636379
2024,"March","4 Western","Campaspe",2867,7547.914911542
2024,"March","4 Western","Central Goldfields",942,6884.958339424
2024,"March","4 Western","Colac-Otway",1161,5227.845821326
2024,"March","4 Western","Corangamite",590,3743.892378958
2024,"March","4 Western","Gannawarra",685,6626.03985297
2024,"March","4 Western","Glenelg",1233,6193.49005425
2024,"March","4 Western","Golden Plains",551,2101.689743296
2024,"March","4 Western","Greater Bendigo",8219,6559.823773076
2024,"March","4 Western","Greater Geelong",16906,5856.392633956
2024,"March","4 Western","Hepburn",551,3276.446452994
2024,"March","4 Western","Hindmarsh",232,4266.274365576
2024,"March","4 Western","Horsham",1769,8728.474860611
2024,"March","4 Western","Loddon",344,4455.381427276
2024,"March","4 Western","Macedon Ranges",1511,2819.818979192
2024,"March","4 Western","Mildura",6065,10615.395386285
2024,"March","4 Western","Moorabool",1818,4578.307184769
2024,"March","4 Western","Mount Alexander",849,4098.083699377
2024,"March","4 Western","Moyne",484,2739.726027397
2024,"March","4 Western","Northern Grampians",750,6397.13408393
2024,"March","4 Western","Pyrenees",282,3557.910673732
2024,"March","4 Western","Queenscliffe",63,1918.976545842
2024,"March","4 Western","Southern Grampians",936,5689.969604863
2024,"March","4 Western","Surf Coast",956,2399.959833308
2024,"March","4 Western","Swan Hill",1439,6874.970139984
2024,"March","4 Western","Warrnambool",2315,6448.827232715
2024,"March","4 Western","West Wimmera",141,3612.605687932
2024,"March","4 Western","Yarriambiack",353,5593.408334654
2024,"March","4 Western","Total",64567,5959.201981755
2024,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",967,
2024,"March","Justice Institutions and Immigration Facilities","Total",967,
2024,"March","Unincorporated Vic","Unincorporated Vic",93,
2024,"March","Unincorporated Vic","Total",93,
2023,"March","1 North West Metro","Banyule",5518,4268.519091528
2023,"March","1 North West Metro","Brimbank",12421,6350.236964402
2023,"March","1 North West Metro","Darebin",9648,6216.254526243
2023,"March","1 North West Metro","Hobsons Bay",4618,4938.720509914
2023,"March","1 North West Metro","Hume",12949,4940.820048687
2023,"March","1 North West Metro","Maribyrnong",6827,7469.692327892
2023,"March","1 North West Metro","Melbourne",24986,14148.117529147
2023,"March","1 North West Metro","Melton",8615,4193.295594484
2023,"March","1 North West Metro","Merri-bek",9421,5220.055741175
2023,"March","1 North West Metro","Moonee Valley",5829,4621.239148531
2023,"March","1 North West Metro","Nillumbik",1172,1855.663573894
2023,"March","1 North West Metro","Whittlesea",9168,3749.601236779
2023,"March","1 North West Metro","Wyndham",13835,4285.789517705
2023,"March","1 North West Metro","Yarra",9553,9860.347016504
