"Year","Year ending","Police Region","Local Government Area","Family Incidents","Rate per 100,000 population"
2025,"March","4 Western","Gannawarra",222,2153.040442246
2025,"March","4 Western","Glenelg",529,2657.223226843
2025,"March","4 Western","Golden Plains",253,950.41322314
2025,"March","4 Western","Greater Bendigo",2711,2141.931609886
2025,"March","4 Western","Greater Geelong",5580,1891.19206106
2025,"March","4 Western","Hepburn",211,1240.373875727
2025,"March","4 Western","Hindmarsh",118,2166.330089958
2025,"March","4 Western","Horsham",710,3505.826585029
2025,"March","4 Western","Loddon",146,1891.681782845
2025,"March","4 Western","Macedon Ranges",562,1031.87426557
2025,"March","4 Western","Mildura",2243,3913.870421749
2025,"March","4 Western","Moorabool",783,1934.670883574
2025,"March","4 Western","Mount Alexander",272,1299.011414108
2025,"March","4 Western","Moyne",252,1418.918918919
2025,"March","4 Western","Northern Grampians",348,2948.153168417
2025,"March","4 Western","Pyrenees",139,1746.88953123
2025,"March","4 Western","Queenscliffe",25,753.693096171
2025,"March","4 Western","Southern Grampians",378,2293.271855851
2025,"March","4 Western","Surf Coast",336,834.471625481
2025,"March","4 Western","Swan Hill",669,3191.489361702
2025,"March","4 Western","Warrnambool",845,2330.713005103
2025,"March","4 Western","West Wimmera",64,1634.738186462
2025,"March","4 Western","Yarriambiack",153,2430.500397141
2025,"March","4 Western","Total",22884,2086.068084362
2025,"March","Justice Institutions and Immigration Facilities","Justice Institutions and Immigration Facilities",206,
2025,"March","Justice Institutions and Immigration Facilities","Total",206,
2025,"March","Unincorporated Vic","Unincorporated Vic",20,
2025,"March","Unincorporated Vic","Total",20,
2024,"March","1 North West Metro","Banyule",1286,978.244332877
2024,"March","1 North West Metro","Brimbank",2914,1475.457979321
2024,"March","1 North West Metro","Darebin",1728,1085.093156001
2024,"March","1 North West Metro","Hobsons Bay",1008,1057.446183542
2024,"March","1 North West Metro","Hume",3525,1301.876548864
2024,"March","1 North West Metro","Maribyrnong",1092,1165.135559041
2024,"March","1 North West Metro","Melbourne",2136,1138.805214192
2024,"March","1 North West Metro","Melton",3055,1395.652690343
2024,"March","1 North West Metro","Merri-bek",1772,955.328164929
2024,"March","1 North West Metro","Moonee Valley",1329,1028.446728162
2024,"March","1 North West Metro","Nillumbik",399,628.069512656
2024,"March","1 North West Metro","Whittlesea",2770,1097.299138798
2024,"March","1 North West Metro","Wyndham",4453,1327.985208159
2024,"March","1 North West Metro","Yarra",1022,1022.79778227
2024,"March","1 North West Metro","Total",28489,1177.039771211
2024,"March","2 Eastern","Alpine",122,930.23255814
2024,"March","2 Eastern","Bass Coast",828,1904.849544493
2024,"March","2 Eastern","Baw Baw",1207,1953.295680741
2024,"March","2 Eastern","Benalla",342,2350.192413414
2024,"March","2 Eastern","Boroondara",1020,575.1501311
2024,"March","2 Eastern","East Gippsland",1932,3928.18656853
2024,"March","2 Eastern","Greater Shepparton",1908,2747.537584241
2024,"March","2 Eastern","Indigo",181,1027.358383471
2024,"March","2 Eastern","Knox",1988,1219.961216525
2024,"March","2 Eastern","Latrobe",2830,3606.289981395
2024,"March","2 Eastern","Manningham",978,744.50187648
2024,"March","2 Eastern","Mansfield",124,1151.346332405
2024,"March","2 Eastern","Maroondah",1357,1139.646600376
2024,"March","2 Eastern","Mitchell",1252,2232.564774693
