"Year","Year ending","Offence Division","Offence Subdivision","Offence Group","Alleged Offender Incidents","Rate per 100,000 population 10 years and older","Rate per 100,000 population 12 years and older"
2018,"March","A Crimes against the person","A30 Sexual offences","A39 Other sexual offences",198,3.524407232,3.625286704
2018,"March","A Crimes against the person","A40 Abduction and related offences","A40 Abduction and related offences",233,4.14740851,4.266120213
2018,"March","A Crimes against the person","A50 Robbery","A51 Aggravated robbery",2111,37.575877106,38.651415317
2018,"March","A Crimes against the person","A50 Robbery","A52 Non-aggravated robbery",145,2.581005296,2.654881677
2018,"March","A Crimes against the person","A60 Blackmail and extortion","A61 Blackmail",24,0.427200877,0.439428691
2018,"March","A Crimes against the person","A60 Blackmail and extortion","A62 Extortion",25,0.445000913,0.45773822
2018,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A71 Stalking",1309,23.300247812,23.967173212
2018,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A72 Harassment and private nuisance",227,4.040608291,4.15626304
2018,"March","A Crimes against the person","A70 Stalking, harassment and threatening behaviour","A73 Threatening behaviour",3419,60.858324881,62.600279001
2018,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A81 Dangerous driving",534,9.505219505,9.777288384
2018,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A82 Neglect or ill treatment of people",41,0.729801498,0.750690681
2018,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A83 Throw or discharge object endangering people",358,6.372413076,6.554811314
2018,"March","A Crimes against the person","A80 Dangerous and negligent acts endangering people","A89 Other dangerous or negligent acts endangering people",1739,30.954263518,31.8402706
2018,"March","B Property and deception offences","B10 Arson","B11 Cause damage by fire",680,12.104024837,12.450479591
2018,"March","B Property and deception offences","B10 Arson","B12 Cause a bushfire",32,0.569601169,0.585904922
2018,"March","B Property and deception offences","B10 Arson","B19 Other fire related offences",374,6.657213661,6.847763775
2018,"March","B Property and deception offences","B20 Property damage","B21 Criminal damage",8975,159.755327818,164.328021068
2018,"March","B Property and deception offences","B20 Property damage","B22 Graffiti",428,7.618415633,7.836478331
2018,"March","B Property and deception offences","B20 Property damage","B29 Other property damage offences",43,0.765401571,0.787309739
2018,"March","B Property and deception offences","B30 Burglary/Break and enter","B31 Aggravated burglary",1737,30.918663445,31.803651543
2018,"March","B Property and deception offences","B30 Burglary/Break and enter","B32 Non-aggravated burglary",8652,154.00591602,158.414043262
2018,"March","B Property and deception offences","B40 Theft","B41 Motor vehicle theft",5677,101.050807356,103.943195053
2018,"March","B Property and deception offences","B40 Theft","B42 Steal from a motor vehicle",4118,73.300550413,75.398639639
2018,"March","B Property and deception offences","B40 Theft","B43 Steal from a retail store",11393,202.795816137,208.60046173
2018,"March","B Property and deception offences","B40 Theft","B44 Theft of a bicycle",382,6.799613953,6.994240005
2018,"March","B Property and deception offences","B40 Theft","B45 Receiving or handling stolen goods",3304,58.811320681,60.494683187
2018,"March","B Property and deception offences","B40 Theft","B46 Fare evasion",21,0.373800767,0.384500105
2018,"March","B Property and deception offences","B40 Theft","B49 Other theft",5329,94.856394645,97.571479027
2018,"March","B Property and deception offences","B50 Deception & B60 Bribery","B51 Forgery and counterfeiting",1426,25.382852086,26.109388083
2018,"March","B Property and deception offences","B50 Deception & B60 Bribery","B53 Obtain benefit by deception",4637,82.53876937,84.901285091
2018,"March","B Property and deception offences","B50 Deception & B60 Bribery","B54 State false information",491,8.739817934,8.989978646
2018,"March","B Property and deception offences","B50 Deception & B60 Bribery","B56 Professional malpractice and misrepresentation",31,0.551801132,0.567595393
2018,"March","B Property and deception offences","B50 Deception & B60 Bribery","Other deception offences & B61 Bribery of officials",48,0.854401753,0.878857383
