title,url,format,wayback_url,retrieved,source_page_url,license
Drug Programs in the Pharmaceutical Data Tool,https://www.cihi.ca/sites/default/files/document/drug-program-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250820105437/https://www.cihi.ca/sites/default/files/document/drug-program-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Reimbursement Policies in the Pharmaceutical Data Tool,https://www.cihi.ca/sites/default/files/document/reimbursement-policies-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20260508220441/https://www.cihi.ca/sites/default/files/document/reimbursement-policies-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Markup Policies in the Pharmaceutical Data Tool,https://www.cihi.ca/sites/default/files/document/markup-policies-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250830020744/https://www.cihi.ca/sites/default/files/document/markup-policies-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Professional Fees in the Pharmaceutical Data Tool,https://www.cihi.ca/sites/default/files/document/professional-fees-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250830020759/https://www.cihi.ca/sites/default/files/document/professional-fees-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Travel Burden for Hospital Care in Canada — Data Tables,https://www.cihi.ca/sites/default/files/document/travel-burden-hospital-care-canada-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20251229203010/https://www.cihi.ca/sites/default/files/document/travel-burden-hospital-care-canada-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Impact of Trikafta on Individuals Living With Cystic Fibrosis — Data Tables,https://www.cihi.ca/sites/default/files/document/impact-of-trikafta-on-individuals-living-with-cystic-fibrosis-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20250820094708/https://www.cihi.ca/sites/default/files/document/impact-of-trikafta-on-individuals-living-with-cystic-fibrosis-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
Huntington Disease in Canada — Data Tables,https://www.cihi.ca/sites/default/files/document/huntington-disease-in-canada-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20241121130516/https://www.cihi.ca/sites/default/files/document/huntington-disease-in-canada-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Trends in Hospital Spending, 2009–2010 to 2022–2023 — Data Tables — Series D: Beds Staffed and In Operation by Functional Centre",https://www.cihi.ca/sites/default/files/document/hospital-spending-series-d-2009-2022-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20251127182917/https://www.cihi.ca/sites/default/files/document/hospital-spending-series-d-2009-2022-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Pharmacists in Canada, 2023 — Data Tables",https://www.cihi.ca/sites/default/files/document/pharmacists-in-canada-2014-2023-data-tables-en.xlsx,xlsx,,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
"Physiotherapists in Canada, 2023 — Data Tables",https://www.cihi.ca/sites/default/files/document/physiotherapists-in-canada-2014-2023-data-tables-en.xlsx,xlsx,https://web.archive.org/web/20241101034217/https://www.cihi.ca/sites/default/files/document/physiotherapists-in-canada-2014-2023-data-tables-en.xlsx,2026-07-18,https://www.cihi.ca/en/access-data-and-reports/data-tables,CIHI open data; see https://www.cihi.ca/en/terms-and-conditions-of-use
