"description","location","notes","spaces","url","geo_local_area","lon","lat"
"Metered Accessible Parking Space","South Side 500 Terminal Av",NA,1,NA,"Strathcona",-123.093077,49.27149
"Metered Accessible Parking Space","South Side 1100 Hornby St",NA,1,NA,"Downtown",-123.127877,49.278592
"Metered Accessible Parking Space","West Side  6400 Fraser St",NA,1,NA,"Sunset",-123.090857,49.226377
"3HR Accessible Parking Space","South Side 3500 W 4th Av",NA,1,NA,"Kitsilano",-123.18339,49.268521
"2HR Accessible Parking Space","North Side 400 National Av",NA,1,NA,"Strathcona",-123.094023,49.273874
"Metered Accessible Parking Space","North Side 400 W 5th Av",NA,1,NA,"Mount Pleasant",-123.113895,49.266698
"Accessible Parking Space - 8am-5pm Mon-Fri","South Side 4300 W 6th Av",NA,1,NA,"West Point Grey",-123.205585,49.267183
"Metered Accessible Parking Space","North Side 4500 W 10th Av",NA,1,NA,"West Point Grey",-123.211583,49.26393
"Metered Accessible Parking Space","East Side  2600 Laurel St",NA,1,NA,"Fairview",-123.125323,49.262211
"Metered Accessible Parking Space","North Side 700 W 10th Av",NA,1,NA,"Fairview",-123.121105,49.262383
"Metered Accessible Parking Space","North Side 600 W 10th Av",NA,1,NA,"Fairview",-123.118307,49.262334
"Metered Accessible Parking Space","North Side 0 Athletes Way",NA,1,NA,"Mount Pleasant",-123.10552,49.271571
"3HR Accessible Parking Space - Under Granville St. Bridge","West Side  1500 Granville St",NA,1,NA,"Downtown",-123.131423,49.273831
"Metered Accessible Parking Space","East Side  2600 Laurel St",NA,1,NA,"Fairview",-123.125323,49.262158
"Accessible Parking Spaces - 9am-3pm","West Side  5700 St. Margarets St",NA,2,NA,"Victoria-Fraserview",-123.056619,49.232586
"Metered Accessible Parking Space","East Side  1900 Yew St",NA,1,NA,"Kitsilano",-123.155072,49.268372
"Metered Accessible Parking Space","West Side  2300 Alberta St",NA,1,NA,"Mount Pleasant",-123.11098,49.264645
"3HR Accessible Parking Space","West Side  2900 Commercial Dr",NA,1,NA,"Kensington-Cedar Cottage",-123.069968,49.258122
