"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"sejx-2gn3","Citywide Public Computer Centers","dataset","List of public facilities offering computers with internet access, according to administrative data collected by the Office of Technology and Innovation.","2026-03-26T19:52:33.000Z",2524,"Social Services"
"2jrp-puwz","Mayor's Management Report Spending and Budget","dataset","Contains Spending and Budget information for City agencies, as reported in the Mayoral Management Report (MMR).","2025-09-24T15:22:00.000Z",2523,"City Government"
"58k2-kgtb","Zoning Map Index: Quartersection","map","Shapefile of zoning quartersection map index. Grid to determine which zoning quartersection map relates to specific areas of NYC.

A sectional index grid to determine which Zoning Map refers to spec","2024-02-02T18:45:29.000Z",2519,"City Government"
"im58-6hb9","NYC Parks Spray Showers Map","map","This dataset provides the location of spray showers under the jurisdiction of NYC Parks. For more information about spray showers, visit https://www.nycgovparks.org/facilities/sprayshowers

Data Dicti","2026-05-06T13:46:32.000Z",2518,"Recreation"
"yv25-wqf9","Social Distancing and Enforcement: Parks Patrol Data","dataset","Note: Due to important notes and changes to this dataset over time, we recommend you review the data dictionary prior to using this data. 

During the Covid-19 response, NYC Parks deployed staff from ","2026-05-19T13:01:50.000Z",2517,NA
"ge9t-ywzs","ENDGBV: The Intersection of Domestic Violence, Race/Ethnicity and Sex","dataset","This data set contains New York City Police Department count data for domestic violence related offenses (murder, rape, sex offense, felony assault, strangulation and stalking) by the victim's race an","2024-01-31T18:54:39.000Z",2517,"Public Safety"
"jcj6-zji6","Designated and Calendared Buildings and Sites (Map)","map","Provides information on all items designated or under consideration for designation (i.e. calendared) by the New York City Landmarks Preservation Commission (LPC). </br>
This dataset contains informat","2026-02-02T21:09:00.000Z",2509,"Housing & Development"
"7vgu-qbur","DSNY Sections","dataset","Shape file of DSNY District Sections","2024-02-06T17:44:55.000Z",2509,"City Government"
"2c5m-rke8","NYCDEP Citywide Catch Basins","map","NYCDEP Citywide Catch Basins.
Catch basins are an important part of New York City’s 7,500-mile sewer network. They are connected to underground pipes that channel stormwater from the street to one of ","2025-12-18T19:43:00.000Z",2503,"Environment"
"e27m-uhjk","Banking Corporation Issuer's Allocation Percentage Report","dataset","Issuer's Allocation Percentage for all corporations subject to taxes.

These reports are used by general corporations and unincorporated taxpayers to compute their investment allocation percentages, a","2022-05-09T22:25:22.000Z",2502,"City Government"
"6qs8-44ki","DOHMH COVID-19 Antibody-by-Modified ZIP Code Tabulation Area","dataset","This dataset contains information on antibody testing for COVID-19: the number of people who received a test, the number of people with positive results, the percentage of people tested who tested pos","2024-07-03T04:10:41.000Z",2501,NA
"7yhi-h8kc","Directory of Nature Preserves","href","DPR directory of nature preserves","2024-10-30T14:28:29.000Z",2501,"Recreation"
"aqqw-n6ec","NYCgov Poverty Measure Data (2014)","dataset","American Community Survey Public Use Micro Sample, augmented by NYC Opportunity.","2022-05-09T22:27:17.000Z",2498,"Business"
"fdx7-6jsr","Directory Of Land Use Application Fees","dataset","Directory of Land Use Application and CEQR Fees required when filing application pursuant to City Charter 197-c and Other Applications with the Department of City Planning.

A resource for applicant","2020-02-08T01:20:08.000Z",2151,"City Government"
"azp6-hepu","Licensing Center Customer Information","dataset","This data set features a monthly snapshot of customer service information at the DCA Licensing Center.","2022-04-13T19:15:36.000Z",2496,"Business"
"wed3-5i35","2012 - 2017 Historical Monthly Grade Level Attendance By School","dataset","Historical Monthly Grade Level Attendance By School","2024-11-26T23:17:52.000Z",2493,"Education"
"5vu2-shu8","2021 Public Data File - Parent","dataset","Due to Covid-19. Framework scores are not available for the 2020-2021 school year.  Each year, all parents, teachers, and students in grades 6-12 take the NYC School Survey.  The survey is aligned to ","2024-11-26T23:13:50.000Z",2490,"Education"
"fuvx-wqd7","2011-2012 NYC Family Guides","dataset","2011-2012 NYC Family Guides","2024-11-26T23:17:14.000Z",2433,"Education"
"esmb-8zkm","School Based Programs by Borough","dataset","School based programs by borough with cost.","2026-03-26T17:33:49.000Z",2487,"Education"
"utpj-74fz","Energy and Water Data Disclosure for Local Law 84 2017 (Data for Calendar Year 2016)","dataset","Data and metrics on water and energy consumption in privately owned buildings over 25,000 ft2 and in City-owned buildings over 10,000 ft2.","2024-10-01T19:33:13.000Z",2487,"Environment"
"n56u-3hzv","Local Law 83 - City Agency Advertising Spend","dataset","MOECM functions as financial oversight for all City of New York media placement spend, providing guidance on marketing efficiency and strategy, as well as, monitoring alignment with
the budgetary goal","2025-12-31T18:28:07.000Z",2486,"City Government"
"upwt-zvh3","2010 - 2011 School Progress Report","dataset","Progress Reports grade each school with an A, B, C, D, or F.  These reports focus on a school's learning environment, student performance, and student progress.  They were designed to help parents, te","2024-11-26T23:15:26.000Z",2483,"Education"
"c5iv-bn4s","Pickups and Drop-offs by Taxi Zone and Industry","dataset","These records are generated from trip record submissions made by FHV - High Volume companies and green and yellow taxi Technology Service Providers. This dataset aggregates the trip records to monthly","2026-04-29T20:14:45.000Z",2483,"Transportation"
"6xyb-j5pk","AddressPoint","map","Address points were developed to supplement the address information supplied by the CSCL centerline. Some computer aided dispatch systems use address points as the primary source for locating an addre","2026-05-20T17:15:49.000Z",2482,"City Government"
"77q4-nkfh","Energy and Water Data Disclosure for Local Law 84 2016 (Data for Calendar Year 2015)","dataset","Data and metrics on water and energy consumption in privately owned buildings over 25,000 ft2 and in City-owned buildings over 10,000 ft2.","2024-10-01T19:33:01.000Z",2479,"Environment"
"jpn2-huby","Lead Service Line Location Coordinates (Map)","map","The Department of Environmental Protection (DEP) is offering the following data to provide residents and property owners with information regarding their water service lines.","2026-01-30T15:13:45.000Z",2476,"Environment"
"c99a-c5ux","NYC Climate Budgeting Report: Climate Alignment Assessment and Capital Climate Investments","dataset","This dataset rates all projects in the capital budget with over $50,000 with their climate alignment and categorizes investments that are related to climate. Amounts are in thousands. This dataset wil","2026-05-19T17:55:19.000Z",2470,"City Government"
"8k4x-9mp5","Citywide Auto Fringe Benefits","dataset","Auto Fringe Benefits for all city employees.","2026-04-17T18:52:34.000Z",2373,"City Government"
"evdj-a5z2","Municipal Parking Facilities (Brooklyn)","href","RSS Feed displaying municipal parking facilities in Brooklyn.","2024-10-30T14:28:15.000Z",2450,"Transportation"
"bug8-9f3g","Value of Energy Cost Savings Program Savings for Businesses","dataset","Total estimated annual dollar value of utility discounts for businesses approved for ECSP benefits during the fiscal year.","2023-07-06T13:59:52.000Z",2457,"City Government"
"xrwg-eczf","SCOUT CORE","dataset","The Customers Observing and Reporting Experience (CORE) program is an inspection program that rates facility conditions and customer service at over 300 of the City’s walk-in service centers.
CORE sco","2024-01-11T19:28:19.000Z",2450,"City Government"
"jxs5-ygaz","Citywide Mobility Survey - Vehicle Survey 2019","dataset","The Citywide Mobility Survey (CMS) is NYC DOT's annual travel survey to assess the travel behavior, preferences, and attitudes of NYC residents. It is composed of 5 linked data tables - this one is th","2026-03-24T14:48:44.000Z",2444,"Transportation"
"wapz-jfhq","DCWP Language Line Interpretation Services","dataset","Department of Consumer and Worker Protection (DCWP) believes that limited English proficiency (LEP) should not be a hindrance to accessing the services and information the Agency provides. Without lan","2026-04-25T20:00:05.000Z",2443,"Business"
"p8e4-uwuv","Anticipated RFP","dataset","List of upcoming Requests for Proposals","2026-05-05T20:40:18.000Z",2443,"Education"
"7pza-ynkh","MOCS 15 Largest Contracts","dataset","Annually published list of the 15 largest procurement contracts by original contract dollar amount.","2021-06-30T18:40:11.000Z",2441,"Business"
"nurq-xj9w","NYC Open Data Plan: FOIL Datasets","dataset","<b>NOTE:</b> To review the latest plan, make sure to filter the ""Report Year"" column to the latest year.

The list of datasets identified via FOIL reporting and their respective release statuses.","2025-09-15T18:19:48.000Z",2440,"City Government"
"ax85-bzte","DOHMH Tuberculosis Surveillance: Data from the Tuberculosis Control Annual Summary","dataset","Tuberculosis cases and rates by select characteristics table from the Tuberculosis Control Annual Summary","2024-11-19T17:21:24.000Z",2440,"Health"
"jgf2-kw9q","NYC Parks Pools Map","map","This dataset consists of indoor and outdoor pools under the jurisdiction of NYC Parks.

To learn more about pools, visit NYC Parks website: https://www.nycgovparks.org/highlights/places-to-go/pools","2026-05-18T14:13:54.000Z",2439,"Recreation"
"xtsw-fqvh","NYC Parks Events Listing – Event Categories","dataset","The NYC Parks Events Listing database is used to store event information displayed on the Parks website, nyc.gov/parks. There are seven related tables that make up the this database: 

1. Events_Eve","2026-02-05T15:24:52.000Z",2438,"City Government"
"5dck-9m6g","NYC DOT Pedestrian Plazas - Point Feature","dataset","A shapefile with all DOT pedestrian plaza locations across New York City in point feature.","2026-03-23T20:08:18.000Z",2429,"Transportation"
"pfys-fabf","NYPL Branch Services - Bronx","dataset","New York Public Library (NYPL) branch services from July 2010 to June 2011(Bronx)","2022-05-09T22:27:50.000Z",2425,"Recreation"
"hags-jh3e","2016-17 - 2020-21 District End-of-Year Attendance and Chronic Absenteeism Data","dataset","Overall attendance data include students in Districts 1-32 and 75 (Special Education). Students in District 79 (Alternative Schools & Programs), charter schools, home schooling, and home and hospital ","2024-11-26T23:17:15.000Z",2423,"Education"
"67up-ztdf","New York City Health Opinion Poll","dataset","The New York City Health Opinion Poll (HOP) is a periodic rapid online poll conducted by New York City Department of Health and Mental Hygiene. The goals of the poll are to measure adult New Yorkers’ ","2021-05-11T16:25:15.000Z",2416,"Health"
"ay6v-3gm3","SNAP and Cash Assistance for NYCHA Residents - Local Law 163","dataset","This datasets contains information about SNAP and Cash Assistance, services offered by the Department of Social Services (DSS) to help New Yorkers receive the federally-administered food benefits they","2026-04-22T12:52:28.000Z",2416,"Social Services"
"2wuc-x56b","Local Law 33 - Security Indicators Report","dataset","Monthly report on DOC security indicators.","2021-11-03T18:18:37.000Z",2404,"Public Safety"
"53m8-jdtg","Parks Concessions","dataset","NYC Parks uses a Commercial Off-The-Shelf database for maintaining its concession-related data.  In its raw form, the Parks data within the Yardi Voyager database has a convoluted structure, the major","2026-03-09T20:39:11.000Z",2403,"City Government"
"p8i7-ix2s","Low Income Housing Tax Credits Awarded by HPD: Project-Level (4% Awards)","dataset","The Department of Housing Preservation and Development (HPD) receives a sub-allocation of 9% Low Income Housing Tax Credits and allocated its credits through one competitive round each calendar year. ","2025-11-13T21:01:01.000Z",2392,"Housing & Development"
"rb38-kd48","Citywide Mobility Survey - May 2020","dataset","In 2020, NYC DOT conducted a panel survey of respondents who completed the 2019 CMS. The three surveys allowed the agency to better understand how residents traveled and used public spaces during the ","2024-09-23T20:52:48.000Z",2390,"Transportation"
"k7nh-aufb","Energy and Water Data Disclosure for Local Law 84 2012 (Data for Calendar Year 2011)","dataset","Data and metrics on water and energy consumption in privately owned buildings over 25,000 ft2 and in City-owned buildings over 10,000 ft2.","2024-10-01T19:32:05.000Z",2389,"Environment"
"2bmr-jdsv","FHV Base Aggregate Report - Historical","dataset","Monthly report including weekly total dispatched trips and unique dispatched vehicles by base tabulated from FHV Trip Record submissions made by bases. For the currentl list, please refer to <a href=""","2022-05-09T22:28:12.000Z",2389,"Transportation"
"xuid-t5nk","2017 - 2020 Monthly Grade Level Attendance by School","dataset","Monthly grade level counts of roster students present, absent and released by School DBN.  This dataset updates its statistics numerous times during fiscal year, current data reflects statistics for f","2024-11-26T23:17:37.000Z",2378,"Education"
"a3nt-yts4","2019 - 2020 School Point Locations","dataset","This is an ESRI shape file of school point locations based on the official address.  It includes some additional basic and pertinent information needed to link to other data sources. It also includes ","2024-11-26T23:11:31.000Z",2376,"Education"
"3qgi-jrgw","Seating Locations (Map)","map","This dataset identifies the locations of DOT seating features throughout New York City including benches and leaning bars on sidewalks and at bus stops.","2026-05-07T13:51:55.000Z",2375,"Transportation"
"ybdk-jmnn","NYC Veteran Owned Businesses","dataset","The dataset is a directory of self-reported Veteran Owned Businesses in New York City. Each record/row represents information submitted by Veteran business owners or majority owners in theses business","2024-01-31T17:03:23.000Z",2374,"City Government"
"kswi-37bp","Energy and Water Data Disclosure for Local Law 84 2011 (Data for Calendar Year 2010)","dataset","Data and metrics on water and energy consumption in privately owned buildings over 25,000 ft2 and in City-owned buildings over 10,000 ft2.","2024-10-01T19:31:38.000Z",2372,"Environment"
"b2gb-nkrq","Community Emergency Response Team (CERT)","dataset","List of Community Emergency Response Teams (CERT)","2024-07-08T16:17:59.000Z",2363,"Public Safety"
"b37a-3faw","Ten-Year Capital Strategy","dataset","This dataset contains Ten-Year Capital Strategy data by project type, ten-year plan category and source of funds.  The dollar values are in thousands.  The dataset is updated every other year in Preli","2025-05-06T16:02:08.000Z",2358,NA
"qfxy-c6k3","Municipal Parking Facilities (Queens)","href","RSS Feed displaying municipal parking facilities in Queens","2024-10-30T14:28:10.000Z",1989,"Transportation"
"un72-4nix","Directory of Historic Houses","href","Historic Houses in New York City Department of Parks & Recreation properties.","2024-10-30T14:28:26.000Z",2355,"Recreation"
"pjs3-c3z5","NYC Planimetric Database: Hydrography","dataset","Planimetric basemap layer containing hydrography. 

Please see the following link for additional documentation- https://github.com/CityOfNewYork/nyc-planimetrics/blob/master/Capture_Rules.md.","2025-12-10T16:01:00.000Z",2347,"Environment"
"nbun-a9vi","DOF: Summary of Neighborhood Sales for Brooklyn for Class 1-, 2- and 3-Family homes - 2009","dataset","The Department of Finance (DOF) maintains records for all property sales in New York City, including sales of family homes in each borough. This list is a summary of neighborhood sales for Class 1-, 2","2022-05-09T22:25:37.000Z",2319,"Housing & Development"
"jknp-skuy","VZV Speed Humps","dataset","Speed Humps are a raised area of a roadway designed to reduce vehicle speeds. Dates reflect the first time a speed hump was installed at a location, subsequent removals and/or re-installations are not","2026-05-01T10:25:04.000Z",2341,"Transportation"
