"hub_id","title","type","source","search_keyword"
"ed92e01509da45ccb70f9843b5f4ce91","Traffic Collision by Location 2019","Feature Service","City of Ottawa","traffic"
"8290959243a84ec3bc8dacbc17bd8bec","COVID19 Traffic Volumes Mcdonald Cartier Bridge","Feature Service","City of Ottawa","traffic"
"67ffc3a0e2b346fe8814202b60a28a5b","Ward Boundary Geographies based on 2011 Traffic Zones","Feature Service","City of Ottawa","traffic"
"82358859aa5c40d4ae89fa2be9d2d1fa","Traffic Collisions by Location 2014 to 2018","Feature Service","City of Ottawa","traffic"
"9ab8b35019f547c994c22da287cad723","Traffic Collisions by Location 2015 to 2019","Feature Service","City of Ottawa","traffic"
"4600b83579db4e7bae74c95fa98f3252","COVID-19 Traffic Volume Monitoring at Intersections","Feature Service","City of Ottawa","traffic"
"dbed29914d0845c081ba2a2c0d0270f5","Traffic Collisions by Location  2013 to 2017","Feature Service","City of Ottawa","traffic"
"81fbfe84943248df82a2cb69aaa0fa44","Red Light Camera Violations 2018","Feature Service","City of Ottawa","traffic"
"7137721d50a441b5bef2a1b1a3e960bf","Red Light Camera Violations 2016","Feature Service","City of Ottawa","traffic"
"7c2bc98cce5b4b428485b38b19dc2cc7","Red Light Camera Violations 2023","Feature Service","City of Ottawa","traffic"
"2d41bac8320c49529a0e61cc05fc949b","Red Light Camera Violations 2022","Feature Service","City of Ottawa","traffic"
"b053664e31a846078bea540c5224e34c","Red Light Camera Violations 2019","Feature Service","City of Ottawa","traffic"
"9549aa41c27d44ccb31a694bb83d394a","Red Light Camera Violations 2017","Feature Service","City of Ottawa","traffic"
"218bae567491468db88cbf65d97898fa","Red Light Camera Violations 2015","Feature Service","City of Ottawa","traffic"
"b32764f34b4843f38f56799fbd9660df","Red Light Camera Violations 2021","Feature Service","City of Ottawa","traffic"
"580333b19045464890b3b28c6ebb4120","Automated Speed Enforcement Camera Violations 2023","Feature Service","City of Ottawa","traffic"
"dfa542b3983a48d6bd8c716ec57e9803","Red Light Camera Violations 2020","Feature Service","City of Ottawa","traffic"
"6fe3915d8b6e41b599a8b253e566cf8e","Automated Speed Enforcement Camera Violations 2021","Feature Service","City of Ottawa","traffic"
"adf1e7bd0338404196dc0d552aa6c79b","Red Light Camera Locations","Feature Service","City of Ottawa","traffic"
"6cbbf9791c1e4e0aaacceba6df8fdfd2","Automated Speed Enforcement Camera Violations 2025","Feature Service","City of Ottawa","traffic"
"1cbbbe7986fd4cb5adf875c9675d75f4","Automated Speed Enforcement Camera Violations 2022","Feature Service","City of Ottawa","traffic"
"b144a0f046ae4445841a96ad1d9def10","Automated Speed Enforcement Camera Violations 2020","Feature Service","City of Ottawa","traffic"
"78db4678c5704ceb8293f8e1929d225b","Red Light Camera Violations 2026","Feature Service","City of Ottawa","traffic"
"ad519955709c4ed78d03726933b531e1","Red Light Camera Violations 2025","Feature Service","City of Ottawa","traffic"
"d709c922c64b4c389afac3fb21d481fb","Automated Speed Enforcement Camera Locations","Feature Service","City of Ottawa","traffic"
"ac7dba25e35443319a7b13bc9acec36f","Red Light Camera Violations 2024","Feature Service","City of Ottawa","traffic"
"7ca6b8a8e36d4bada0bd166755c147cb","2019 Pedestrian Crossover Locations","Feature Service","City of Ottawa","traffic"
"432723dbabc64909a075956eccd4ee03","Automated Speed Enforcement Camera - Speed Data","Feature Service","City of Ottawa","traffic"
"4997c0967e3c4838a8ecab24d3971ece","Automated Speed Enforcement Camera Violations 2024","Feature Service","City of Ottawa","traffic"
"ea3e55356a754ee39785b480dc064728","Midblock Volume 2022","Feature Service","City of Ottawa","traffic"
"314ea945b4c14e1daf82b5a490db0e44","Transportation Midblock Volume 2023","Feature Service","City of Ottawa","traffic"
"e71da0dae7f44ef686f06a870ba61b4e","Transportation Midblock Volumes 2024","Feature Service","City of Ottawa","traffic"
"52f34797978c44c1820b8b2d7a4ae3ed","Automated Speed Enforcement Camera Removal – Monitoring Speed Data","Feature Service","City of Ottawa","traffic"
"2936cb816b7a4777a4969d5a214ba6ea","Transportation Intersection Volumes 2024","Feature Service","City of Ottawa","traffic"
"f5d312a7606045d18baefecbac587a08","Transportation Intersection Volumes 2019","Feature Service","City of Ottawa","traffic"
"17bd5892d1b74964953076aa3ab25b2b","Transportation Intersection Volumes 2018","Feature Service","City of Ottawa","traffic"
"454ec24c86a843aca7bd07a7c30bc51c","Transportation Intersection Volumes 2015","Feature Service","City of Ottawa","traffic"
"8c3e0e3abaa74fc8a5330c762bca2f0d","Transportation Intersection Volumes 2016","Feature Service","City of Ottawa","traffic"
"bb67a6a4c57147debe65c9cbc081ade5","Transportation Intersection Volumes 2021","Feature Service","City of Ottawa","traffic"
"eff64cda60674495af42e8fd95262ca8","Adult School Crossing Guard Locations 2019","Feature Service","City of Ottawa","traffic"
"1af696cc51ca4b41b48d4c33733b0c79","Transportation Intersection Volume 2023","Feature Service","City of Ottawa","traffic"
"73419ce46c694bc8bf96c163236bf060","Intersection Volume 2022","Feature Service","City of Ottawa","traffic"
"de535453a18b4bd8817ba81845e062c2","2014 Tabular Transportation Collision Data","Feature Service","City of Ottawa","traffic"
"5a483bb4d30346288ab87b4d1a601f67","2013 Tabular Transportation Collision Data","Feature Service","City of Ottawa","traffic"
"510ecc3378d74cae95c7ca0ae14d880f","2017 Tabular Transportation Collision Data","Feature Service","City of Ottawa","traffic"
"bf701649829642d28fa2e400a7136bdd","2020 Tabular Transportation Collision Data","Feature Service","City of Ottawa","traffic"
"cdf702dbb5814372b52a6a0490b8a1c6","2016 Tabular Transportation Collision Data","Feature Service","City of Ottawa","traffic"
"ef1d33db23b64b6db74df200a055b4f5","2015 Tabular Transportation Collision Data","Feature Service","City of Ottawa","traffic"
"9a91a607e0854bb68371980d29835574","2019 Tabular Transportation Collision Data","Feature Service","City of Ottawa","traffic"
"a152535b638f45a086cc309f519ebcae","2018 Tabular Transportation Collision Data","Feature Service","City of Ottawa","traffic"
"f2a5820083204e5f83c604c1fcb4030f","Transportation Intersection Volumes 2017","Feature Service","City of Ottawa","traffic"
"975aedb8759a4630805a4643ee38e268","Street Lights","Feature Service","City of Ottawa","traffic"
"b2395e56baf148ee88eef9e20c43e12c","Upcoming construction facilities, culverts, parks, bridges","Feature Service","City of Ottawa","traffic"
"d2fe8f7e3cf24615b62dfc954b5c26b9","Construction Road resurfacing, watermain, sewer, multi-use pathways, bike lanes","Feature Service","City of Ottawa","traffic"
"b5bf419e817848059b0fc0b3b4630545","Landmarks OC Transpo's Travel Planner","Feature Service","City of Ottawa","traffic"
"7ea2bc14422f47118fbd8e34bf735aeb","311 Service Request Volume - Q2 2012","CSV","City of Ottawa","311"
"f965bcc755fc4a228ea867bf0dd4ef91","311 Service Request Volume - Q1 2012","CSV","City of Ottawa","311"
"f6b1b5c8b68845b8afefdd1110c6d906","2022 Monthly Service Requests","CSV Collection","City of Ottawa","311"
"359286a1a7cb4b15ae9d5708c1692c85","Emergency shelter use","Feature Service","City of Ottawa","emergency"
"23a8fa1918d9447aa51c2e9a26953e23","Rental Market Analysis 2019","CSV","City of Ottawa","emergency"
"64cc402f8c2340a5b01b4d9b770049e2","All causes and respiratory related ED visits in Ottawa by age and week","Feature Service","City of Ottawa","emergency"
"4c598271584a464a87ecb62c3e4f34ca","Survey results: Point-in-Time count","CSV","City of Ottawa","emergency"
"81a6b8a6d2824ebd8cfddd933ab043c4","COVID-19 Cases and Deaths Ottawa (Historical data)","Feature Service","City of Ottawa","emergency"
"4a9aa5f7835646ada78b435a6474dd83","Housing Needs Assessment","CSV Collection","City of Ottawa","emergency"
"3e80b4906c6649f0aae45b6ec44f5767","Public Art (Historical)","CSV","City of Ottawa","emergency"
"2b5139bebb0342948e7b2ce1cf4004de","Festivals and Events (Historical)","CSV","City of Ottawa","emergency"
"67f9855a027941c8a12c82a5644ce2f0","Historical Data - Umbrella and service organizations in the cultural sector","CSV","City of Ottawa","emergency"
"cdf446d25c664e0596d1be97daed4162","Organizations: not-for-profit arts, heritage, and cultural organizations (Historical)","CSV","City of Ottawa","emergency"
"2ad484079102419d9410886271cba9c0","Confirmed opioid toxicity deaths of Ottawa residents by ONS neighbourhood of incident","Feature Service","City of Ottawa","incident"
"d2308ee6fd054767a92e1da5ceb15930","Confirmed Opioid related Deaths of Ottawa Residents ","Feature Service","City of Ottawa","incident"
"f31c9439c80246f0864d1c1b53d8b3c1","Suspected Drug Overdose Deaths in Ottawa","Feature Service","City of Ottawa","incident"
