"community","category","crime_count","year","month"
"06A","Violence  'Other' (Non-domestic)","1","2023","9"
"09K","Theft OF Vehicle","1","2018","3"
"02E","Assault (Non-domestic)","6","2023","1"
"02F","Break & Enter - Commercial","3","2021","7"
"09K","Theft OF Vehicle","1","2020","10"
"01K","Assault (Non-domestic)","1","2019","6"
"09O","Break & Enter - Dwelling","1","2019","12"
"02E","Violence  'Other' (Non-domestic)","2","2022","12"
"09K","Theft OF Vehicle","1","2022","1"
"01K","Theft FROM Vehicle","2","2022","4"
"05D","Assault (Non-domestic)","1","2023","10"
"02E","Assault (Non-domestic)","5","2020","7"
"01K","Theft OF Vehicle","1","2024","6"
"02E","Theft OF Vehicle","1","2023","4"
"02E","Assault (Non-domestic)","5","2022","10"
"02C","Theft OF Vehicle","1","2023","3"
"05F","Theft OF Vehicle","1","2020","10"
"01K","Assault (Non-domestic)","1","2021","6"
"02E","Assault (Non-domestic)","5","2022","8"
"01F","Break & Enter - Dwelling","1","2018","11"
"01F","Theft FROM Vehicle","1","2019","4"
"05D","Theft OF Vehicle","1","2023","9"
"09O","Theft FROM Vehicle","1","2022","10"
"01K","Theft FROM Vehicle","2","2022","1"
"02E","Assault (Non-domestic)","8","2024","5"
"01K","Break & Enter - Commercial","1","2023","1"
"09K","Break & Enter - Commercial","1","2021","6"
"05D","Assault (Non-domestic)","1","2023","1"
"01K","Street Robbery","1","2021","11"
"09O","Theft OF Vehicle","1","2024","6"
