"registryid","title_of_work","artistprojectstatement","type","status","sitename","siteaddress","primarymaterial","url","photourl","ownership","neighbourhood","locationonsite","geo_local_area","descriptionofwork","photocredits","yearofinstallation","lon","lat"
169,"Girl Waiting for a Bus",NA,"Sculpture","In place","Parkview Towers","Burrard & Cornwall Street","Concrete, painted white","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=169",NA,"private","Kitsilano","Lawn west of building front entrance",NA,"Apt's first sculpture, it was offered for sale to the Park Board which declined. It was purchased privately for Parkview Towers in 1962.  In 1967 it was smashed by vandals but later repaired.",NA,"1962",NA,NA
173,"Fountain of the Pioneers","""..my fountain sculptures are an attempt to unify water--the life force of the universe that flows in an elusive cyclical course throughout eternity--with an immutable metal sculpture.""","Fountain or water feature","In place","Bentall Centre","555 Burrard Street","Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=173",NA,"private","Downtown","Front entrance of tower","Downtown","Water splashes down two levels of this abstract rounded form and into the pool below. The sculpture is the centre piece of the long rectangular pool in front of the Bentall towers.",NA,"1969",-123.11882,49.28616
175,"Symbols of the Cuneiforms",NA,"Sculpture","In place",NA,"750 Burrard Street","Metal, plexiglass","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=175",NA,"private","Downtown","Exterior, NW corner facing Burrard","Downtown","This artwork is a delicate metal relief with plexiglas inserts.  The white sections are lighted at night. It is mounted on the exterior northwest corner of the building at Burrard and Robson (formerly the Vancouver Public Library). The piece was saved when the building was renovated from the old library.",NA,"1960",-123.12201,49.28365
187,"Untitled","The rock was imported from Cortes Island, the artist's home. The artist said, ""I like the tricks of handling it, the blocks and tackle and the jacks. A sculptor likes the balance."" The work was inspired by the natural beach landscape, ""I saw these big timbers there rubbing, the rock and the beams together. I was more constructive, but on the beach is nothing like this, is absolute sculpture..sometimes only for one day, the next, the tide took it away and destroyed it already.""(V.Sun, June 21, 1986)","Sculpture","No longer in place","Harbour Front Park","Main Street (north end)","Red cedar, boulder","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=187",NA,"City of Vancouver","Strathcona","West end of park",NA,"A structure of large cedar logs is inspired by Japanese architecture. A large black rock (that the artist calls a natural sculpture) sits in the centre of the work.",NA,"1986",NA,NA
189,"Untitled",NA,"Sculpture","In place","Corpus Christi Church","6350 Nanaimo Street","Bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=189",NA,"Privately owned","Victoria-Fraserview","Exterior, above entrance","Victoria-Fraserview",NA,NA,"1962",-123.057584,49.226406
192,"Horizontal Column",NA,"Sculpture","In place","VanDusen Botanical Garden","5251 Oak Street","Marble","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=192",NA,"City of Vancouver","Shaughnessy","West of display gardens","Shaughnessy","Fluted column with curl","Heide Dobler","1975",-123.134604,49.239068
196,"Observing Your Society",NA,"Sculpture","In place","VanDusen Botanical Garden","5251 Oak Street","Marble","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=196",NA,"City of Vancouver","Shaughnessy","Central - south area north of Japanese Azaleas, edge of Great Lawn","Shaughnessy","Three faces emerge from this solid white marble form.","Heide Dobler","1975",-123.132556,49.238647
197,"Woman",NA,"Sculpture","In place","VanDusen Botanical Garden","5251 Oak Street","Marble","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=197",NA,"City of Vancouver","Shaughnessy","South central area, south of hydrangeas","Shaughnessy","abstract","Heide Dobler","1975",-123.132656,49.238238
198,"Landscape 75",NA,"Sculpture","In place","VanDusen Botanical Garden","5251 Oak Street","Marble","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=198",NA,"City of Vancouver","Shaughnessy","West of display gardens and oriental grasses","Shaughnessy","four abstract forms","Heide Dobler","1975",-123.132214,49.23917
201,"Primary No. 9",NA,"Sculpture","In place","Robson Square","Robson & Hornby Street","Steel","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=201",NA,"Province of British Columbia","Downtown","South side of Robson on second level","Downtown","This sculpture of painted steel is a playful exercise in form,space, and colour.",NA,"1981",-123.122092,49.282006
202,"Kakaso'las","The pole was originally one of five commissioned in 1955 by Woodwards and installed in front of their store in Edmonton for thirty years before returning here. The pole was renovated by Neel's son Robert, and is now on permanent loan to Stanley Park. (Stewart, Totem Poles, 1990)","Totem pole","In place","Brockton Point","Stanley Park","Fibreglass","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=202",NA,"City of Vancouver","Stanley Park","Facing east, far left",NA,"This is a Kwakwaka'wakw pole which shows an Eagle, a SeaBear, a woman holding a frog, Bookwus (the Wild Man of the woods) and Dzoonokwa and a Raven at the base.","City of Vancouver","1955",-123.120828,49.299207
203,"The Game","The Game… engages all the exterior sites of the Arena at once, identifying them as a field for an over-sized game.  There are two teams of balls - 7 for each side.  It appears as a game in progress…  Contributing to the idea that there are dramatic consequences to this game, bronze medallions are set into each ball to carry the image of a person in action.  In the form of a portrait,  these human images lend an identity to each ball and also indicate its situation in the game.  Some faces appear triumphant, others suffer the stress of falling or spinning... At the opposite pole each ball carries the image of a star.  Whether read as rising or falling this sign casts the player as a guest of fate, inexorably rolled along in the flow of events.  (the artist)","Site-integrated work","Deaccessioned","Previously located at General Motors Place Arena","800 Griffiths Way","Stainless steel, aluminum, bronze","https://covapp.vancouver.ca/PublicArtRegistry/ArtworkDetail.aspx?ArtworkId=203",NA,"Privately owned","Downtown","Levels 100, 200 and 300 of the exterior plaza","Downtown","Fourteen large metal balls scattered throughout the grounds of General Motors Place Arena: 7 smooth stainless steel with 3 grooves at each pole and 7 aluminum with grooves every 3&quot;. Two bronze medallions inset into each ball; one end depicts a star and the other is the face of a person in action. All balls are 60.5&quot; in diameter.

This artwork was officially deaccessioned November 2020. After an extensive redevelopment of the area surrounding Rogers Arena, resituating the artwork became unfeasible within the revised ground plan. As well, the artist had requested that The Game not be re-installed, stating that it was created for a time and place that no longer exist, and that the work is not relevant for other contexts.

The City of Vancouver strives to acquire and commission works of art of the highest quality. Acquisition by the City implies a commitment to the preservation, protection and maintenance of artwork for the public benefit and implies permanency within the collection. As such, deaccessioning is a serious consideration requiring careful planning and adherence to the conditions set out in our Deaccession Policy.

https://vancouver.ca/files/cov/PublicArt-DeaccessionGuidelines.pdf","Barbara Cole","1995",-123.10804,49.278494
