"hub_id","title","type","feature_server_url","owner","tags","snippet"
"e4e28a899191479d8e53754414894870","Passenger KSI","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/PASSENGER_KSI/FeatureServer","TorontoPoliceService","Killed or Seriously Injured; KSI; Passenger; Traffic; Collision; Traffic Collision","Passenger-related KSI collisions (2006 - 2023)."
"4a02ac3ed83d478c914d62c3064d6bc4","Patrol Zone","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Patrol_Zone/FeatureServer","TorontoPoliceService","Patrol Zone; Boundary Files; Patrol Zones","Police patrol zones."
"a96252bf61b84fc68c3926bb7485970e","Pedestrian KSI","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/PEDESTRIAN_KSI/FeatureServer","TorontoPoliceService","Killed or Seriously Injured; KSI; Pedestrian; Traffic; Collision; Traffic Collision","Pedestrian-related KSI collisions (2006 - 2023)."
"1f58109772e2484fba0f509c1ab49fe8","Personnel by Command (ASR-PB-TBL-004)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Personnel_by_Command_(ASR_PB_TBL_004)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Personnel","This dataset provides a count of personnel broken down by command level. "
"62016275c866412d8de5db539dc0cb8a","Personnel by Rank (ASR-PB-TBL-002)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Personnel_by_Rank_(ASR_PB_TBL_002)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Personnel","This dataset provides a count of personnel broken down by rank classification for Uniform, Civilian, and Other Staff.  "
"e29b8d05c4754b3b8fc234324811a897","Personnel by Rank by Division (ASR-PB-TBL-003)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Personnel_by_Rank_by_Division_(ASR_PB_TBL_003)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Personnel","This dataset provides a count of personnel broken down by rank classification for Uniform & Civilian staff by division. This data includes the command level at the time of reporting."
"79c8e950bfe54ce39334ba108e1b325f","Persons in Crisis Calls for Service Attended Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Persons_in_Crisis_Calls_for_Service_Attended_Open_Data/FeatureServer","TorontoPoliceService","Persons in Crisis; PIC; Crisis; Apprehensions; MHA; Calls; Calls for Service; Toronto; TPS; Toronto Police","Persons in crisis calls for service attended."
"fda21b25213c4c07b08c5162cba5081f","Police Divisions","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/TPS_POLICE_DIVISIONS/FeatureServer","TorontoPoliceService","City of Toronto; Toronto; Open Data; Feature Class; Update; Data Load; Divisions; Police Divisions","Police divisions (post D54/D55 amalgamation)."
"1cd5d478ef79424a8a6d5319a44edb0a","Regulated Interactions (ASR-RI-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Regulated_Interactions_(ASR_RI_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Regulated Interactions","The data provided count describes situations involving regulated interactions."
"fe2e40a464e64cb3a0e69ac3ccd17dfa","Reported Crimes (ASR-RC-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Reported_Crimes_(ASR_RC_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Reported Crimes","This dataset includes all reported crime offences by reported date aggregated by division. "
"d0e1e98de5f945faa2fe635dee3f4062","Robbery Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Robbery_Open_Data/FeatureServer","TorontoPoliceService","Theft Over; Crime; Community Safety Indicators; CSI; Toronto; TPS Toronto Police","Robbery occurrences by reported date."
"8ee1697ce6af44a78640686a1feeeefb","Search of Persons (ASR-SP-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Search_of_Persons_(ASR_SP_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Search of Person","This dataset includes all Level 3 and Level 4 searches that were conducted."
"64ddeca12da34403869968ec725e23c4","Shooting and Firearm Discharges Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Shooting_and_Firearm_Discharges_Open_Data/FeatureServer","TorontoPoliceService","Shooting; Firearm; Crime; Community Safety Indicators; CSI; Toronto; TPS; Toronto Police","Shooting and Firearm Discharge occurrences by reported date."
"9d97ef7e8b494095be4abc0a628d7ce3","Staffing_by_Command","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/StaffingbyCommand/FeatureServer","TorontoPoliceService","Staffing; Budget; Toronto Police Service; TPS",""
"d9303bc20f8a4351b7744a8703eecb80","Theft From Motor Vehicle Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Theft_From_Motor_Vehicle_Open_Data/FeatureServer","TorontoPoliceService","Motor; Vehicle; Auto; MV; Thefts; Theft from Motor Vehicle; Crime; Toronto; TPS; Toronto Police","Theft from Motor Vehicle occurrences by reported date."
"7530d9b637c340059ccb81a782481c04","Theft Over Open Data","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Theft_Over_Open_Data/FeatureServer","TorontoPoliceService","Theft Over; CSI; Crime; Community Safety Indicators; Toronto; TPS Toronto Police","Theft Over $5,000 occurrences by reported date."
"5069c21b5b364194807bf1958556b1ff","Tickets Issued (ASR-ENF-TBL-002)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Tickets_Issued_(ASR_ENF_TBL_002)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Tickets","This dataset provides an aggregated count of tickets issued by year, ticket type, offence, age group, division, and neighbourhood."
"a83aa604fed240acaf2dfe64e1b323f8","Top 20 Offences of Firearm Seizures (ASR-F-TBL-002)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Top_20_Offences_of_Firearm_Seizures_(ASR_F_TBL_002)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Firearms","This dataset provides a list of top 20 offences ranked by volume, for occurrences linked to a firearm seizure."
"a16edf4bc9484e94ad7e00bc22727544","Total Public Complaints (ASR-PCF-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Total_Public_Complaints(ASR_PCF_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Complaints","This dataset provides a breakdown of the total number of public complaints from the Law Enforcement Complaints Agency (L.E.C.A.) broken down by complaints that were investigated and not investigated."
"bc4c72a793014a55a674984ef175a6f3","Traffic Collisions Open Data (ASR-T-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Traffic_Collisions_Open_Data/FeatureServer","TorontoPoliceService","Traffic; Collision; Traffic Collisions; Motor Vehicle Collisions; Toronto; TPS; Toronto Police","Collision occurrences by occurrence date."
"98d88b18c0364c8d86e6a7c690037b85","Use of Force: Call Sources by Month (RBDC-UOF-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/RBDC_UOF_TBL_001/FeatureServer","TorontoPoliceService","RBDC; race based data; race","This table provides monthly counts of incidents which officers responded to from different call sources and which resulted in an enforcement action and/or reported use of force."
"04633ebdaba941efaa82f2cdaaa00bb8","Use of Force: Call for Service Types (RBDC-UOF-TBL-004)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/RBDC_UOF_TBL_004/FeatureServer","TorontoPoliceService","race; race based data; RBDC","This table provides information about the types of calls for service which resulted in an enforcement action and/or reported use of force."
"de9284945c3e479e938c4b77586535b1","Use of Force: Gender Composition (RBDC-UOF-TBL-006)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/RBDC_UOF_TBL_006/FeatureServer","TorontoPoliceService","race; race based data; rbdc","This table provides information about the genders of people involved in enforcement action incidents, including those that may be associated with a reported use of force. "
"0e7f95cb45704c8e8c9a05973422211c","Use of Force: Location of Occurrences (RBDC-UOF-TBL-003)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/RBDC_UOF_TBL_003/FeatureServer","TorontoPoliceService","RBDC; race; race based data","This table provides location information, aggregated to the division level."
"a9b6bef1d34b44eea814e1869fdcda62","Use of Force: Occurrence Category (RBDC-UOF-TBL-005)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/RBDC_UOF_TBL_005/FeatureServer","TorontoPoliceService","rbdc; race; race based data","This table provides information about the nature of the incident or the most serious offence associated with the incident, after officers arrive to the scene. "
"b2bd6427e19a4706a4727338824a82b6","Use of Force: Time of Day Trends (RBDC-UOF-TBL-002)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/RBDC_UOF_TBL_002/FeatureServer","TorontoPoliceService","RBDC; race; race based data","This table provides information on the time periods of the day in which incidents took place and which resulted in an enforcement action and/or reported use of force."
"9388798a44cd4ee5bc175669d8b6fb13","Use of Force: Use of Force Types and Perceived Weapons (RBDC-UOF-TBL-007)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/RBDC_UOF_TBL_007/FeatureServer","TorontoPoliceService","race; race based data; rbdc","This table provides information about reported use of force incidents and the highest type of force used as well as whether officers perceived weapons were carried by people involved."
"6afabfd5109847a2bbba3eaeb0275e35","Victims of Crime (ASR-VC-TBL-001)","Feature Service","https://services.arcgis.com/S9th0jAJ7bqgIRjw/arcgis/rest/services/Victims_of_Crime_(ASR_VC_TBL_001)/FeatureServer","TorontoPoliceService","ASR; TPS; Toronto Police; Annual Statistical Report; Victims","This dataset includes all identified victims of crimes against the person, including, but not limited to, those that may have been deemed unfounded after investigation, those that may have occurred outside the City of Toronto limits, or have no verified location. "
