"soda_id","title","type","description","updated_at","page_views_total","domain_category"
"x4n2-2ke2","Fire Hydrants","dataset","A listing of EPCOR Utilities Inc. owned/operated hydrants in Edmonton.","2025-08-12T22:11:27.000Z",15681,"Externally Sourced Datasets"
"m2pr-kvhb","2013 Animals Admitted to the Animal Care & Control Centre","filter","Animals Admitted to the Animal Care & Control Centre","2025-02-14T23:43:22.000Z",15667,"Community Services"
"ib2b-3mi4","Weather Data (Hourly) - Environment Canada","dataset","Environment Canada Data License Agreement:

http://climate.weather.gc.ca/prods_servs/attachment1_e.html

Environment Canada Terms and Conditions:

http://www.ec.gc.ca/default.asp?lang=En&xml=583","2026-05-24T15:14:49.000Z",15338,"Environmental Services"
"xgwu-c37w","Bylaw Infractions","dataset","Total number of citizen complaint driven or officer initiated snow on City sidewalk, nuisance property, graffiti, noxious weeds, and business licence Bylaw investigations","2026-05-24T10:09:40.000Z",15332,"Community Services"
"kyni-rzw4","Memos to Council","dataset","Data set containing memos sent from Administration to Council.","2026-04-30T01:32:48.000Z",14725,"City Administration"
"wps4-8auk","City of Edmonton - Neighbourhoods (Map View)","map","List of current neighbourhoods and their unique identifier number.  Included are both residential and industrial neighbourhoods.","2026-05-18T08:23:39.000Z",13874,"City Administration"
"ix8f-s9xp","Historical: COVID-19 in Alberta: Current cases by local geographic area","dataset","Note: Last updated 2022-09-26, no longer provided.

Current COVID-19 cases in Alberta, by local geographic area.

This is a mirror of the data presented in the map view at https://www.alberta.ca/stats","2023-09-14T21:53:34.000Z",13787,"Community Services"
"qqvh-dp5m","City of Edmonton - Corporate Boundary (current)","dataset","Outline of City of Edmonton's corporate boundary line from January 1, 2019 00:00:00
VIEWING THE MAP - click on the map in 'Featured Content' below
DOWNLOADING THE MAP - click 'Export' button to the ri","2019-09-13T20:04:58.000Z",13705,"Administrative"
"ctwr-tvrd","ETS Bus Schedule GTFS Data Feed - Trips","dataset","This dataset lists all trips and their routes in Edmonton. A trip is a sequence of two or more stops that occurs at specific time.

For documentation please see https://developers.google.com/transit/g","2026-04-20T16:37:01.000Z",13686,"Transit"
"pmka-uf4n","Vegetation Areas - Natural and Naturalized: Map View","map","These lat/long coordinates correspond to spatial areas in Edmonton where naturalization has been used as a landscape management approach.

Naturalization is an ecologically-based approach to landscape","2026-05-18T08:02:59.000Z",13495,"Environmental Services"
"vmxr-rfn8","2014 Animals Admitted to the Animal Care & Control Centre","filter","Animals Admitted to the Animal Care & Control Centre","2025-02-14T23:43:22.000Z",13443,"Community Services"
"dtee-k52t","Site Analytics Graph: Public Asset Access (last 6 months)","chart","Asset access statistics for the previous 6 months.","2026-05-18T08:50:46.000Z",13283,"Monitoring and Data Collection"
"4y6q-mtg6","City of Edmonton Corporate Boundary Map","map","Outline of City of Edmonton's corporate boundary line from January 1, 2019 00:00:00","2019-09-13T19:53:12.000Z",13002,"Administrative"
"7fnd-72gr","Intersection Safety Device Locations","dataset","This dataset represents the approximate drive lane(s) and the direction of enforcement, of intersections where Intersection Safety Devices are operational. Intersection Safety Devices enforce red ligh","2026-05-18T08:33:25.000Z",12539,"Transportation"
