"package_name","title","num_resources","metadata_modified","search_keyword"
"daily-bread-food-banks-client-visits-by-month","Daily Bread Food Banks - Client Visits by Month",2,"2025-07-24T19:54:40.602131","by-law"
"municipal-licensing-and-standards-investigation-activity","Municipal Licensing and Standards - Investigation Activity",3,"2026-05-23T19:17:03.656619","by-law"
"heritage-conservation-districts","Heritage Conservation Districts",1,"2026-03-02T22:19:29.830519","by-law"
"lobbying-bylaw-public-consultation-on-amendments","Lobbying Bylaw - Public Consultation on Amendments",2,"2025-03-24T20:52:35.769081","by-law"
"tobids-non-competitive-contracts","Toronto Bids Non-Competitive Contracts",4,"2026-05-22T16:09:15.372072","by-law"
"preliminary-zoning-reviews","Preliminary Zoning Reviews",4,"2026-05-24T10:16:08.509567","by-law"
"tax-rebates-tax-exemptions","Tax Rebates - Tax Exemptions",2,"2023-04-06T13:54:12.949761","by-law"
"non-competitive-contracts","Non Competitive Contracts",1,"2025-03-25T15:39:50.487825","by-law"
"members-of-toronto-city-council-meeting-attendance","Members of Toronto City Council - Meeting Attendance",21,"2026-05-21T18:08:54.078910","by-law"
"building-permits-green-roofs","Building Permits - Green Roofs",5,"2026-05-18T10:07:04.268346","by-law"
"section-37","Community Benefits Secured (Planning Act Sections 37 and 45)",4,"2026-02-20T21:36:32.337313","by-law"
"chemical-tracking-chemtrac","Chemical Tracking (ChemTrac)",47,"2026-02-20T18:45:39.647817","by-law"
"members-of-toronto-city-council-voting-record","Members of Toronto City Council - Voting Record",21,"2026-05-13T18:08:26.354402","by-law"
"business-improvement-areas","Business Improvement Areas",13,"2026-05-08T03:05:43.599316","by-law"
"toronto-animal-services-service-requests-complaints","Toronto Animal Services - Service Requests & Complaints",7,"2026-05-01T20:27:51.701662","by-law"
"court-services-customer-satisfaction-survey","Court Services Customer Satisfaction Survey",1,"2024-05-13T14:19:58.775764","by-law"
"heritage-register","Heritage Register",2,"2026-05-21T19:34:36.090347","by-law"
"registry-of-declared-interest","Registry of Declared Interest",21,"2026-05-23T18:06:58.542977","by-law"
"bodysafe","BodySafe",9,"2026-05-24T07:04:08.619994","by-law"
"small-business-property-tax-subclass-eligible-properties","Small Business Property Tax Subclass: Eligible Properties",8,"2026-03-06T19:41:07.189639","by-law"
"annual-summary-of-reportable-communicable-diseases","Annual Summary of Reportable Communicable Diseases",9,"2026-02-20T20:46:41.065363","by-law"
"long-term-financial-plan-public-consultation","Long-term Financial Plan Public Consultation",4,"2023-05-17T15:48:42.863875","by-law"
"committee-of-adjustment-applications","Committee of Adjustment Applications",81,"2026-05-23T10:10:04.696385","by-law"
"municipal-licensing-and-standards-toronto-animal-shelter-activity","Municipal Licensing and Standards - Toronto Animal Shelter Activity",19,"2026-05-01T05:10:05.967041","by-law"
"paramedic-services-911-language-interpretation","Paramedic Services 911 Language Interpretation",2,"2025-09-23T13:13:15.056516","emergency"
"wellbeing-youth-housing-eviction-help","Wellbeing Youth - Housing Eviction Help",13,"2026-02-23T16:02:16.256798","emergency"
"wellbeing-youth-health-services","Wellbeing Youth - Health Services",13,"2026-02-23T15:58:53.651203","emergency"
