"dataset_id","title","publisher","records_count","license","theme"
"property-addresses","Property addresses","City of Vancouver",99769,"Open Government Licence - Vancouver","Property and development"
"property-cadastral-boundaries","Property cadastral boundaries","City of Vancouver",321835,"Open Government Licence - Vancouver","Property and development"
"property-easements","Property easements","City of Vancouver",13139,"Open Government Licence - Vancouver","Property and development"
"property-parcel-polygons","Property parcel polygons","City of Vancouver",99726,"Open Government Licence - Vancouver","Property and development"
"property-tax-report","Property tax report","City of Vancouver",1552593,"Open Government Licence - Vancouver","Government and finance"
"property-tax-report-2006-2010","Property tax report 2006-2010","City of Vancouver",892028,"Open Government Licence - Vancouver","Government and finance"
"property-tax-report-2011-2015","Property tax report 2011-2015","City of Vancouver",976762,"Open Government Licence - Vancouver","Government and finance"
"property-tax-report-2016-2019","Property tax report 2016-2019","City of Vancouver",832969,"Open Government Licence - Vancouver","Government and finance"
"property-tie-lines","Property tie lines","City of Vancouver",3151,"Open Government Licence - Vancouver","Property and development"
"property-use-inspection-districts","Property use inspection districts","City of Vancouver",23,"Open Government Licence - Vancouver","Property and development;Safety"
"public-art","Public art","City of Vancouver",747,"Open Government Licence - Vancouver","Culture and education"
"public-art-artists","Public art - Artists","City of Vancouver",635,"Open Government Licence - Vancouver","Culture and education"
"public-streets","Public streets","City of Vancouver",17070,"Open Government Licence - Vancouver","Streets and transportation"
"public-trees","Public trees","City of Vancouver",186362,"Open Government Licence - Vancouver","Streets and transportation"
"public-washrooms","Public washrooms","City of Vancouver",147,"Open Government Licence - Vancouver","Water and sewer"
"railways","Railways","City of Vancouver",936,"Open Government Licence - Vancouver","Streets and transportation"
"rapid-transit-lines","Rapid transit lines","City of Vancouver",3,"Open Government Licence - Vancouver","Streets and transportation"
"rapid-transit-stations","Rapid transit stations","City of Vancouver",22,"Open Government Licence - Vancouver","Streets and transportation"
"rental-standards-current-issues","Rental standards - current issues","City of Vancouver",468,"Open Government Licence - Vancouver","Food and housing"
"right-of-way-widths","Right-of-way widths","City of Vancouver",26852,"Open Government Licence - Vancouver","Streets and transportation"
"road-ahead-current-road-closures","Road Ahead current road closures","City of Vancouver",14,"Open Government Licence - Vancouver","Streets and transportation"
"road-ahead-projects-under-construction","Road Ahead projects under construction","City of Vancouver",49,"Open Government Licence - Vancouver","Streets and transportation"
"road-ahead-upcoming-projects","Road Ahead upcoming projects","City of Vancouver",286,"Open Government Licence - Vancouver","Streets and transportation"
"schools","Schools","City of Vancouver",194,"Open Government Licence - Vancouver","Culture and education"
"service-metrics","Service metrics","City of Vancouver",328,"Open Government Licence - Vancouver","Government and finance"
"sewer-catch-basins","Sewer catch basins","City of Vancouver",44855,"Open Government Licence - Vancouver","Water and sewer"
"sewer-mains","Sewer mains","City of Vancouver",39928,"Open Government Licence - Vancouver","Water and sewer"
"sewer-manholes","Sewer manholes","City of Vancouver",35943,"Open Government Licence - Vancouver","Water and sewer"
"shoreline-2002","Shoreline 2002","City of Vancouver",2,"Open Government Licence - Vancouver","Geography and imagery"
